Composition,Uses
Bevacizumab (400mg), Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Azithromycin (500mg),Treatment of Bacterial infections
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Ranitidine (150mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Pheniramine (25mg),Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
Donepezil (5mg), Alzheimer's disease
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Hydroxyzine (25mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Azithromycin (500mg),Treatment of Bacterial infections
Phenylephrine (0.10% w/w) + Beclometasone (0.025% w/w) + Lidocaine (2.50% w/w),Treatment of Piles
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Phenylephrine (5mg) + Chlorpheniramine Maleate (2mg) + Dextromethorphan Hydrobromide (10mg),Treatment of Dry cough
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Anastrozole (1mg), Breast cancer
Amoxycillin  (200mg) +  Clavulanic Acid (28.5mg),Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
Albendazole (400mg),Treatment of Parasitic infections
Clonidine (100mcg),Treatment of Hypertension (high blood pressure)
Fexofenadine (180mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Aceclofenac (200mg) + Rabeprazole (20mg), Pain relief
Hydroxyzine (10mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (10mg), Pain relief
Spironolactone (25mg), Hypertension (high blood pressure) Edema Low potassium Heart failure
Donepezil (10mg), Alzheimer's disease
Donepezil (5mg) + Memantine (5mg), Alzheimer's disease
Camphor (0.01% w/v) + Menthol (0.005% w/v) + Naphazoline (0.05% w/v) + Phenylephrine (0.12% w/v),Treatment of Allergic eye disease
Camylofin (25mg) + Paracetamol (300mg),Treatment of Abdominal pain
Hydroxyzine (10mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Ambroxol (15mg/5ml) + Salbutamol (1mg/5ml),Treatment of Cough
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (15mg/5ml),Treatment of Dry cough
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
